,indonesian,acehnese,banjarese,english,madurese,ngaju,sundanese,balinese,buginese,javanese,minangkabau,toba_batak
303,Restoran The Valley ini pemandangan ke kota nya nomor 1. Menikmati suasana malam hari dengan lampu kedap-kedip indah sekali.,Restoran the valley nyoe pemandangan u kotajih nomboi 1. Tanikmati suasana malam uroe ngon lampu klap-klep leupah lagak.,Risturan the Valley ini pamandangan ka kota nya nomor 1. Malihati suasana malam hari lawan lampu girap-girap bagus banar,The Valley restaurant has the number 1 view of the town. Enjoying the night vibes with twinkling lights is amazing,Restoran the valley ria pemandangan ka kotana nomer 1.  Anikmate suasanana e malem are bik lampu dhep-keddhepen cek leburre.,Restoran The Valley jituh tempayah te kan kota nah nomor ije. Mengkeme suasana andau malem dengan lampu kedap kedip bahalap tutu.,Restoran The Valley ieu pamandangan ka kota na nomor 1. Nganikmatan suasana dinten wengi ku lampu kedap-kedip endah pisan.,Restoran The Valley ene pemandangan ka kota ne nomor 1. Nikmatin suasana peteng ajak lampu kelap-kelip indah sajan. ,Restorang The Valley e we pattirona lao okko kotae nomoro' 1. Pirasai anyamangenna wenni e pake lampu tuo-mate mabello ladde'.,Restoran The Valley iki pemandangane nyang kutha ne nomer 1. Nikmati suwasana wengi karo lampu kedap-kedip apik banget.,Restoran The Valley ko pamandangan ka kota nyo nomor 1. Manikmati suasana malam hari jo lampu kijok-kijok indah bana.,Parmanganan the valley on panatapanna tu kota na nomor 1. Menikmati suasana di tikki borngin dohot lappu harlap-horlip tung mansai uli.
304,"Kalau ke semarang wajib makan mie kocok ini, menurut saya paling enak. Walaupun tempatnya dipinggiran ruko, dan untuk makannya mesti berusaha untuk dapatkan bangku, tapi layak banget kalau dibandingkan rasanya. Kikilnya banyak, kuahnya gurih banget dan mienya lebar dan tipis. Harganya juga terjangkau. Teh terbaik mie kocok di semarang.","Meunyo tajak u semarang wajeb tacuba mie kocok nyoe, meunyoe bak lon nyoe keuh yang paleng mangat. Bah that pih teumpatjih bak bineh-bineh warong, lheuh nyan untuk tapajoh payah ta useuha bak tamita bangku, tapi sibandeng that deungon yumjih. Kukut jih le, kuah jih meunyum, dan mie jih pipeh. Yum jih pih murah. Memang paleng mantap mie kocok di semarang.","Amun ka samarang wajib makan mi kocok ngini, mun jar ulun ini paling nyaman.Walaupun wadahnya di pinggiran ruko, wan gasan makannya musti bausaha gasan dapat bangku, tapi dasar layak banar amun dibandingakan wan rasanya. Kikilnya banyak, kuahnya gurih banar wan mienya lebar wan tipis. Haraganya jua tajangkau. Teh terbaik mie kocok di semarang.","When you're in Semarang, you gotta try this mie kocok. I think it's the best . Even though it's on the edge of the shop buildings and you gotta find your own seat, the taste is so worth it. They got a lot of cow gravel, and the tasty broth really goes well with the thin and wide noodles. It's also dirt cheap. For sure, he mie kocok is the best in semarang","Mun ka semarang wejib ngakan mie kocok riya, mun cakna engkok paleng nyaman. Tekka'na kenengnganna epengghirenna roma toko, ben ghebey ngakanna meste berusaha ghebey olle katoju'en, tape pantes sarah mun ebhendingngaghi bik rassana. Kekella bennyak, kuana lemak sarah ben mie na leber ben tepes. Regghena kiya mude. Teh se paleng nyaman mie kocok e semarang.","Mun kan semarang wajib inyoba mie kocok tuh, menurut aku paling mangat. Walaupun eka pinggiran ruko, dan untuk panginan harus berusaha mandinun bangku, tapi layak tutu mun imbanding dengan angat ah, kikil ah are, kuah gurih tutu, mie ah lebar tuntang tipis. Rega terjangkau kea, Teh terbaik mie kocok hung semarang","Lamun ka Semarang kedah tuang mie kocok ieu, numutkeun kuring pang ngeunahna. Sanaos tempatna aya di sisi ruko, sareng kanggo tuangna kedah usaha heula keur kengingkeun korsi, tapi eta sae pisan upami dibandingkeun sareng raos na. Kikilna seueur, kuahna gurih pisan jeung miena lebar sareng ipis. Hargina oge kajangkau. Teh pangsaena mie kocok Semarang.","Yening ka semarang patut ngajeng mi kocok puniki, yen menurut tiang paling jaen. Yadiastu  genahne ring sisin ruko, tur ngajeng musti ngalih-ngalihin apange maan kursi, nanging layak sajan yening bandingin teken rasane. Kikilne akeh, kuahne gurih sajan tur mi ne gede lan tipis. Ajine terjangkau. Teh sane paling becik mi kocok di semarang. ","ko lao ki semarang anre laloi iyye mie kocok e, ko iyya iyena peneng malunra'. okko tomi ha wiring ruko onroanna, nappa ko to melo manre sittajeng-tajeppi mala kadera, tapi coco' ladde meto ko purani ipirasai. mega kikilna, malunra' wae'na, maloppo na mabiccu mie na. masempo topa ellinna. teng paling makanja mie kocok okko semarang","Lak nyang semarang wajib mangan mie kocok iki, menurutku paling enak. Masiyo panggone ning pinggiran ruko, lan dinggo panganane mesti usaha dinggo entukne bangku, nanging layak banget lak dibandingne rasane. Kikile akeh, duduhe gurih banget lan miene amba lan tipis. Regane uga mirah. Teh paling sae mie kocok ning semarang.","Kalau ka semarang wajib makan mi kocok ko, menuruik awak paliang lamak. Walaupun tampeknyo dipinggia ruko, dan untuak makannyo harus usaho mandapekan bangku, tapi layak bana kalau dibandiangan jo rasonyo. Kuliknyo banyak, kuahnyo gurih bana dan mienyo leba jo tipih. Haragonyo murah lo. Teh paliang lamak mie kocok di semarang.","Molo tu semarang ikkon mangallang mie aor on, pandokhu on nauttabo. Nang pe ingananna di topini ruko, dohot laho mangan  ikkon margogo laho mandapot karosi, alai suman hian molo di tudoshon tu daina. Hulinghuling na godang, huana holpu hian dohot mi na mamak dohot laslas. Argana pe tardungdung. Tes dumenggan mi aor di semarang."
305,Maling yang sebenarnya sudah di pastikan bernama lulung,Ureng yang cemucui nyan ka dipastikan nan jih Lulung,Maling nang sabujurnya hudah di pastiakan ngarannya lulung,The thief that has already been confirmed to be someone named Lulung.,Maleng se saongghuna la e pasteaghi anyama lulung,"Maling ji bujur te jadi tawa ih, Iulung ara ah",Maling nu sebenerna tos pasti namina lulung,Maling ne sebenehne sampun ka pastiang maadan lulung,Iya ro panga tongeng e manessani makkada asenna Lulung,Maling kang tenanan wis di pastikake jenenge lulung,Maliang nan subananyo alah di pastian banamo lulung,Panakko nasasintongna nungnga dipatangkas margoar Lulung
306,"Memang ya sepertinya aku tidak ditakdirkan nikmatin indomie goreng, padahal cuma merebus minya lho. Bisa-bisanya terlalu lembek. ","Memang lagee ka geutakeudi hanjeuet pajoh mie gureng, padahai cit reuboh miejih. Ek jeuet leumiek that.","Dasar lah pinanya aku kada ditakdirakan manikmati indomie goreng, padahal cuma manjarang mi-nya han. Bisa-bisanya talalu lambik.","Bruh, maybe fate just doesn't let me have a good Indomie Goreng, even though it's just a simple act of boiling noodles. How could you make it too soft?","Pajhet ye masena engkok tak etakdirreghi nikmatin indomie ghuring, padahal pera' ngulop mie na lho. Bisa-bisana leca' ghellu.","Puna yuh kilau te aku jatunti nasib mengkeme indomie goreng, maka baya marabus mi ih te. Ketau-tau lalau belemu.","Saleresna nya sapertosna abdi teu ditakdirkeun nikmatan indomie goreng, padahal ngan ngulub miena lho. Tiasa-tiasana leuleus teuing.","Mula ao asane tiyang ten ditakdirkan nikmatin indomie goreng, padahal melablab mine gen lho. Ngidang-ngidangan bes lembek.","memeng sedding pada ko tennia totoku manre indomie goreng, padahal lae nasumi mie na. manengka maka lemma'","Mesthi ya kayane aku ora ditakdirake nikmati indomie goreng, sanadyan mung nggodhok mine lho. Isa-isane kaliwat lembek.","Memang yo kayaknyo awak indak ditakdiran manikmati indomie goreng, padahal maabuih minyo se. Bisa-bisanyo talampau kambang.","Alai memang hera na so diturpukhon do au mandai indomi goreng, hape holan dirondam do mi na. Boi ma gabe madamor hu."
307,Nike mengeluarkan produk sepatu terbarunya,Nike jipeuteubiet produk sipatu baro,Nike mangaluarakan barang sapatu paling hanyar,Nike has released their newest shoe product.,Nike makaluar produk sapatu anyarra,Nike mampalua produk ewen je paling taheta.,Nike ngaluarkeun produk sapatu anyarna.,Nike mesuang produk sepatu paling anyarne.,Nike mappassu i produk sapatu kaminang baru e,Nike ngetokake produk sepatu paling anyare,Nike mangaluaan produk sapatu tabarunyo,Nike pakaluarhon produk sepatu na imbaru na.
308,"Waktu saya ke restoran itu, pelayannya mendatangi saya dan bertanya untuk berapa orang.","Watee lon jak u restoran nyan, peulayanjih ditanyong bak lon untuk padup droe.","Pas ulun ka risturan ngitu, palayannya mandatangi ulun wan batakun gasan barapa urang.","When I went to that restaurant, the waiter came up to me and asked me for how many people I wanted the table to be.","Bekto engkok ka restoran rua, pelayanna adetengngi engkok ben atanya ghebey berempa oreng. ","Metuh aku kan restoran tuh, pelayan dumah akan kuh tuntang misek akan pire biti?","Nalika kuring angkat ka restoran eta, palayan sumping ka kuring sareng naroskeun kanggo sabaraha jalmi.","Dugas tiyang ke restoran ento, pelayane nyagjagin tiyang lan metakon untuk akuda anak",Wettukku lao ri restorang e iyaero. pajjamana naoloi ka' nappa nakkutanangngi makkada siaga ki' tau.,"Wektu aku nyang restoran iku, pelayane marani aku lan takon dinggo wong pira.","Wakatu awak ka restoran itu, palayanan mandatangi awak dan batanyo untuak bara urang.","Ditingki au laho tu restoran i, parhobas nai ro mandapothon au jala disukkun laho tu piga halak"
309,Roti bakar duti ini sudah ada sejak dulu di sini. Rotinya biasa saja sih. Hanya menu pilihannya buanyak banget. Apa saja ada. Sampe kadang bingung mau pilih yang isi apa. Ada jual bubur juga. Oke jugalah.,Ruti bakar duti nyoe cit ka na dari jameun kon disinoe. Rutijih biasa mantong. Tapi pilihan jih cukop le. Peu mantong na. Meujan mumang rasa peue nyang meuheut tapileh. Na dimeukat kanji cit. Jeut lah.,Roti bakar duti ini sudah ada matan lawas disini. Rotinya biasa aja pang tapi tapi pilihan rasanya banyak banar apa haja ada. Sampai kadang nyanyuk jua mamilih rasa apa. Bubur gin ada jua dijual disini. Mantap jualah,"Roti Bakar Duti has been around for a long time. Even though the bread is nothing special, there's a lot of variety. Pretty much everything is on the menu. Sometimes I don't even know what fillings to choose. They also have porridge. That's also pretty good",Roti panggheng duti riya la bede mulae lambek ediye. Rotina biasa bhei sih. Perak menu peleanna bennyak sarah. Apa bhei bede. Kadheng tagher posang terro melea se esse apa. Bede ajuwel tajhin kiya. oke kiya lah.,"Roti mapui duti tuh jadi tege bara huran hung hetuh. Roti biasa ih. tapi pilihan te are tutu, uras tege. sampai kadang bingung kea handak mintih je kueh. Tege kangkuyaw kea injual. oke kea lah.",Roti bakar duti ieu tos aya ti baheula didieu. Rotina biasa wae. Ngan pilihan menuna anu seueur pisan. Naon wae aya. Kuatka kadang bingung hoyong milih nu euisina naon. Aya ngajual bubur oge. Hade lah.,Jaje matunu duti puniki sampun wenten uling pidan driki. Jaje ne biasa dogen sih. Nuanging menu pilihane akeh pesan. Mejekang wenten. Kanti bingung nangih milih sane isine napi. Wenten ngadol bubuh masih. Nyak asane.,tunu roti duti e engka memanni riolo okkoe. biasa mo je rotinna. Iyamiro nasaba mega ladde rupanna. Engka maneng. Maderri aga malasa uluki aga melo lai pitte. Engka to laibalu' peca aga'. Makanja' metto.,Roti bakar duti iki uwsi ana kawit mbiyen ing kene. Rotine biasa bae sih. Mung menu pilihane akeh tenan. Apa wae ana. Nganti kadang bingung arep milih sing isi apa. Uga ana dodol bubur. Uga okelah.,Roti bakar duti ko alah ado sajak dulu di siko. Rotinyo biaso se sih. Cuma menu piliahannyo banyak bana. Apo se ado. Sampai kadang binguang lo nio piliah nan isi apo. Ado jua bubua lo. Okelah.,roti bakkar duti on nungga adong sian najolo dison. roti biasa do nian. holan angka menu sipilliton godang hian. aha pe adong. sipata gabe bingung aning mamillit na aha isina. adongg manggadis bubur muse. oke muse mai.
310,"Kuota jadi habis terkuras buat melihat foto-foto yang cuma bikin saya iri, makanan enak-enak yang bikin ngiler",Abeh kuota bak lon kalon foto-foto nyang peuiri lon mantong. makanan mangat-mangat peutijoh ie babah,"Kuota jadi habis takuras gasan belelihat foto-foto nang babaya maulah ulun bahiri, makanan nyaman-nyaman nang maulah baliuran","My quota is drained dry just to see photos that make me jelly, and delicious food that makes my mouth water.","Kouta deddhi obus eyabik ghebey ngabes foto-foto se pera' ghebey engkok iri, kakanan man-nyaman se ghebey ajheilen","Kuota maka lepah uras akan mite poto-poto ji mahin mawi aku behiri, penginan mangat-mangat ji mawi mipen","Kuota janteun seep kakuras kanggo ningali foto-foto anu janteun abdi sirik hungkul, tuangeunna raraos nu janteun ngadameul ngelay.","Kuota dadi telah terkuras anggon ningalin foto-foto ane ngae tiyang iri gen, ajengan jaan-jaan ane ngaenang ngiler","Kuota e mancaji cappu i tappake nasaba laipake mita foto-foto iya mappasiri atie bawang, anre-anre na malunra' mappamitti' elo.","Kuota dadi entek resik kanggo ndelok foto-foto sing mung gawe aku srei, panganan enak-enak sing marai ngiler","Kuota jadi abih takureh untuak mancaliak foto-foto nan hanyo mambuek awak iri, makanan lamak-lamak yang buek lapa","Kuota gabe habis tarkuras laho mamereng foto-foto na holan mambahen ahu iri, sipanganon na tabo-tabo mambahen ro ijur."
311,"Saya suka sekali makan di restoran ini, menu masakannya beragam, rasanya enak, harganya tidak terlalu mahal. ","Lon that galak pajoh bu di rumoh makan nyoe, makananjih meumacam bagoe, rasajih mangat, dan yum hana that meuhai.","Ulun katuju banar makan di risturan ngini, menu masakannya bamacam, rasanya nyaman, haraganya kada tapi larang.","I really love eating in this restaurant. Varied menu, awesome flavours, and not really that expensive.","Engkok senneng sarah ngakan e restoran riya, menu massa'anna acem-macem, rassana nyaman, regghena tak pate larang.","AKu rajin tutu kuman hung restoran jituh, menu panginan are macam, angat ah mangat, reha dia lalu larang.","Abdi resep pisan tuang di restoran ieu, menu tuangeunna rupa-rupa, raosna sae, hargana henteu awis teuing.","Tiyang demen sajan ngajeng di restoran ne, menu masakanne beragam, rasane jaan, pengarga ten terlalu mael. ","Iya' upoji ladde' manre okko restorang e we, menu anre-anre na maddupa dupang, rasana malunra', ellinna de' to namaka soli.","Aku seneng banget mangan ning restoran iki, menu masakane rena-rena, rasane enak, regane ora tek larang.","Awak suko bana makan di restoran ko, menu masakannyo baragam, rasonyo lamak, haragonyo ndak talalu maha.","Mansai lomo do rohangku mangan di restoran on, loppaanna marragam,, daina pe tabo, argana dang pola arga."
312,Kurang pas apabila berkunjung ke bandung tanpa mencicipi batagor. Batagor burangrang adalah salah satu yang rasanya enak dan sausnya pun gurih.,"Kureueng pah meunyo tajak u bandung hana tarasa batagor. Batagor burangrang nakeuh salah saboh nyang nyumjih mangat, saosjih pih mangat.",Kurang pas amun bakunjang ka bandung kada marasai batagor. Batagor burangrang ngitu salah sabuting nang rasanya nyaman wan saosnya gin gurih.,You haven't visited Bandung if you haven't tasted any Batagor. Batagor Burangrang is one of the best when it comes to tasty batagor and exceptional sauce.,Korang pas mun entar ka bandung mun tak arassae batagor. Batagor burangrang iye rua salah settong se rassana nyaman ben saossa rennya.,Kurang pas amun betanjungan kan bandung diak mengkeme batagor. Batagor burangrang te buah ije ji angat nah mangat tuntang saus te gin gurih.,Kirang pas mung nganjang ka Bandung teu nyicip batagor. Batagor burangrang yaeta salah sahiji nu rasana raos sareng saosna ge gurih.,Kuang pas yening teka ke bandung tanpa nyicipin batagor. Batagor burangrang punika salah satu ane asane jaan lan sausne pun gurih. ,De nasikenna ladde' narekko jokka ki okko bandung tapi de ipirasai batagor e. Batagor burangrang iyanaritu sala siddinna makanja' e rasana sibawa paggamina makessing.,Kurang pas yen teka menyang bandung tanpa nyicipi batagor. Batagor burangrang yaiku salah siji sing rasane enak lan saose uga gurih.,Kurang pas kalau bakunjuang ka banduang tanpa mancicipi batagor. Batagor burangrang adalah salah ciek nan rasonyo lamak dan sausnyo pun gurih.,Hurang pas molo mardalani tu Bandung molo dang di dai batagor. Batagor burangrang ima sada na daina tabo jala sausna pe gurih.
